city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
291,otukpo,99,NG,1597861849,91,7.19,8.13,76.12,1.61
292,ambilobe,8,MG,1597861748,70,-13.2,49.05,68.88,5.82
293,awjilah,0,LY,1597861850,39,29.11,21.29,86.29,16.24
294,elk city,40,US,1597861851,35,35.41,-99.4,84.2,8.05
295,chicama,5,PE,1597861852,54,-7.84,-79.15,71.02,11.74
296,lasa,40,IT,1597861853,59,46.62,10.7,64.4,3.36
297,hakodate,16,JP,1597861854,91,41.78,140.74,72.48,5.77
298,guerrero negro,2,MX,1597861744,43,27.98,-114.06,87.48,9.84
299,sicamous,53,CA,1597861852,58,50.83,-118.99,70.0,4.61
300,kyra,0,RU,1597861859,83,49.58,111.98,48.34,3.53
301,svetlogorsk,87,BY,1597861264,89,52.63,29.73,65.55,8.08
302,tezu,75,IN,1597861861,79,27.92,96.17,74.98,4.94
303,independencia,75,BR,1597861861,24,-5.4,-40.31,93.31,8.05
304,dingle,92,PH,1597861862,90,11.0,122.67,75.58,2.1
305,lakes entrance,100,AU,1597861863,76,-37.88,147.98,46.0,5.99
306,saint-pierre,90,RE,1597861864,64,-21.34,55.48,70.0,2.24
307,saint anthony,1,US,1597861864,51,45.02,-93.22,82.0,10.29
308,marsh harbour,100,BS,1597861752,70,26.54,-77.06,85.53,11.92
309,nanortalik,49,GL,1597861866,86,60.14,-45.24,46.0,12.46
310,hualmay,35,PE,1597861792,65,-11.1,-77.61,66.54,13.06
311,klaksvik,100,FO,1597861867,71,62.23,-6.59,55.4,10.29
312,byron bay,0,AU,1597861868,38,-28.65,153.62,60.01,14.99
313,roald,75,NO,1597861869,93,62.58,6.13,61.0,3.36
314,innisfail,0,AU,1597861870,65,-17.53,146.03,63.39,3.11
315,morros,67,BR,1597861870,15,-9.45,-46.3,96.75,5.97
316,loa janan,0,ID,1597861871,96,-0.58,117.09,72.61,2.28
317,waingapu,0,ID,1597861683,78,-9.66,120.26,72.14,4.18
